,topic
0,3D
1,Ajax
2,Algorithm
3,Amp
4,Android
5,Angular
6,Ansible
7,API
8,Arduino
9,ASP.NET
10,Atom
11,Awesome Lists
12,Amazon Web Services
13,Azure
14,Babel
15,Bash
16,Bitcoin
17,Bootstrap
18,Bot
19,C
20,Chrome
21,Chrome extension
22,Command line interface
23,Clojure
24,Code quality
25,Code review
26,Compiler
27,Continuous integration
28,COVID-19
29,C++
30,Cryptocurrency
31,Crystal
32,C#
33,CSS
34,Data structures
35,Data visualization
36,Database
37,Deep learning
38,Dependency management
39,Deployment
40,Django
41,Docker
42,Documentation
43,.NET
44,Electron
45,Elixir
46,Emacs
47,Ember
48,Emoji
49,Emulator
50,ESLint
51,Ethereum
52,Express
53,Firebase
54,Firefox
55,Flask
56,Font
57,Framework
58,Front end
59,Game engine
60,Git
61,GitHub API
62,Go
63,Google
64,Gradle
65,GraphQL
66,Gulp
67,Hacktoberfest
68,Haskell
69,Homebrew
70,Homebridge
71,HTML
72,HTTP
73,Icon font
74,iOS
75,IPFS
76,Java
77,JavaScript
78,Jekyll
79,jQuery
80,JSON
81,The Julia Language
82,Jupyter Notebook
83,Koa
84,Kotlin
85,Kubernetes
86,Laravel
87,LaTeX
88,Library
89,Linux
90,Localization
91,Lua
92,Machine learning
93,macOS
94,Markdown
95,Mastodon
96,Material Design
97,MATLAB
98,Maven
99,Minecraft
100,Mobile
101,Monero
102,MongoDB
103,Mongoose
104,Monitoring
105,MvvmCross
106,MySQL
107,NativeScript
108,Nim
109,Natural language processing
110,Node.js
111,NoSQL
112,npm
113,Objective-C
114,OpenGL
115,Operating system
116,P2P
117,Package manager
118,Parsing
119,Perl
120,Phaser
121,PHP
122,PICO-8
123,Pixel Art
124,PostgreSQL
125,Project management
126,Publishing
127,PWA
128,Python
129,Qt
130,R
131,Rails
132,Raspberry Pi
133,Ratchet
134,React
135,React Native
136,ReactiveUI
137,Redux
138,REST API
139,Ruby
140,Rust
141,Sass
142,Scala
143,scikit-learn
144,Software-defined networking
145,Security
146,Server
147,Serverless
148,Shell
149,Sketch
150,SpaceVim
151,Spring Boot
152,SQL
153,Storybook
154,Support
155,Swift
156,Symfony
157,Telegram
158,Tensorflow
159,Terminal
160,Terraform
161,Testing
162,Twitter
163,TypeScript
164,Ubuntu
165,Unity
166,Unreal Engine
167,Vagrant
168,Vim
169,Virtual reality
170,Vue.js
171,Wagtail
172,Web Components
173,Web app
174,Webpack
175,Windows
176,WordPlate
177,WordPress
178,Xamarin
179,XML
